BUILDING_NUMBER,BUILDING_NAME_LONG,START_DATE_USE_YEAR,BUILDING_GROUP_LEVEL1,GJ,LOG_GJ
W20,Julius Adams Stratton Student Center,2012,Non-CUP,43890.21530677163,4.642367711314636
W20,Julius Adams Stratton Student Center,2013,Non-CUP,38012.14326095007,4.579922357373751
W20,Julius Adams Stratton Student Center,2014,Non-CUP,40358.2983565056,4.605932846614445
W20,Julius Adams Stratton Student Center,2015,Non-CUP,45816.31442024098,4.661020150516202
W20,Julius Adams Stratton Student Center,2016,Non-CUP,43269.47826770606,4.636181658618591
W20,Julius Adams Stratton Student Center,2017,Non-CUP,42067.2181040644,4.623943793167438
W20,Julius Adams Stratton Student Center,2018,Non-CUP,30207.005960640905,4.480107681274239
W20,Julius Adams Stratton Student Center,2019,Non-CUP,37391.34356770933,4.5727710707588916
W20,Julius Adams Stratton Student Center,2020,Non-CUP,34935.625421205965,4.543268522445016
W20,Julius Adams Stratton Student Center,2021,Non-CUP,34356.181084143755,4.536004883149359
W20,Julius Adams Stratton Student Center,2022,Non-CUP,32959.64462331741,4.51798252041087
W20,Julius Adams Stratton Student Center,2023,Non-CUP,22789.814273368753,4.357740785892101
W20,Julius Adams Stratton Student Center,2024,Non-CUP,32251.756784004563,4.508553376050948
W2_W4,W2_W4,2009,Non-CUP,13245.066949914588,4.122054157869564
W2_W4,W2_W4,2010,Non-CUP,13144.931323821513,4.1187583214607715
W2_W4,W2_W4,2011,Non-CUP,13794.412938236565,4.139703222531075
W2_W4,W2_W4,2012,Non-CUP,13097.113332443105,4.117175585584184
W2_W4,W2_W4,2013,Non-CUP,13646.575179613134,4.135023672093217
W2_W4,W2_W4,2014,Non-CUP,13261.68727004098,4.1225987823984225
W2_W4,W2_W4,2015,Non-CUP,12657.228689056605,4.102338626945039
W2_W4,W2_W4,2016,Non-CUP,9747.228350342535,3.988881140490832
W2_W4,W2_W4,2017,Non-CUP,12130.862036599245,4.083891663557094
W2_W4,W2_W4,2018,Non-CUP,14800.044184186174,4.170263011943579
W2_W4,W2_W4,2019,Non-CUP,15776.694090441571,4.19801600465962
W2_W4,W2_W4,2020,Non-CUP,13781.537880687842,4.1392976831616
W2_W4,W2_W4,2021,Non-CUP,16817.546968498926,4.225762649265881
W2_W4,W2_W4,2022,Non-CUP,12011.18403301896,4.07958582119645
W2_W4,W2_W4,2023,Non-CUP,9342.736961833729,3.9704741217651023
W31,David Flett du Pont Athletic Gymnasium,2009,Non-CUP,6526.410038883849,3.8146743560026386
W31,David Flett du Pont Athletic Gymnasium,2010,Non-CUP,6550.752836189596,3.8162912135513114
W31,David Flett du Pont Athletic Gymnasium,2011,Non-CUP,9398.869478146897,3.973075618607202
W31,David Flett du Pont Athletic Gymnasium,2012,Non-CUP,10647.569214199031,4.027250471873001
W31,David Flett du Pont Athletic Gymnasium,2013,Non-CUP,10204.697541740896,4.008800137136405
W31,David Flett du Pont Athletic Gymnasium,2014,Non-CUP,10403.87057574222,4.017194940929584
W31,David Flett du Pont Athletic Gymnasium,2015,Non-CUP,10674.013193106568,4.028327735256949
W31,David Flett du Pont Athletic Gymnasium,2016,Non-CUP,9994.749569456895,3.9997719168167647
W31,David Flett du Pont Athletic Gymnasium,2017,Non-CUP,9770.8604144447,3.989932809040402
W31,David Flett du Pont Athletic Gymnasium,2018,Non-CUP,9129.112359410154,3.960428552326107
W31,David Flett du Pont Athletic Gymnasium,2019,Non-CUP,9171.979785022462,3.9624630888770382
W31,David Flett du Pont Athletic Gymnasium,2020,Non-CUP,11436.304305306516,4.058285702855691
W31,David Flett du Pont Athletic Gymnasium,2021,Non-CUP,24207.13914139812,4.383943466495859
W31,David Flett du Pont Athletic Gymnasium,2022,Non-CUP,25038.21624600191,4.398603385955637
W31,David Flett du Pont Athletic Gymnasium,2023,Non-CUP,8105.130763394008,3.908760025891794
W31,David Flett du Pont Athletic Gymnasium,2024,Non-CUP,7017.185931959081,3.8461629840325977
W32,David Flett du Pont Athletic Center,2009,Non-CUP,11683.486806864155,4.0675724724848505
W32,David Flett du Pont Athletic Center,2010,Non-CUP,11683.486806864155,4.0675724724848505
W32,David Flett du Pont Athletic Center,2011,Non-CUP,12237.074611359158,4.087677608006258
W32,David Flett du Pont Athletic Center,2012,Non-CUP,12183.939648088724,4.085787739099575
W32,David Flett du Pont Athletic Center,2013,Non-CUP,12145.986102895557,4.084432779878984
W32,David Flett du Pont Athletic Center,2014,Non-CUP,12145.986102895557,4.084432779878984
W32,David Flett du Pont Athletic Center,2015,Non-CUP,12145.986102895557,4.084432779878984
W32,David Flett du Pont Athletic Center,2016,Non-CUP,12145.986102895557,4.084432779878984
W32,David Flett du Pont Athletic Center,2017,Non-CUP,12145.986102895557,4.084432779878984
W32,David Flett du Pont Athletic Center,2018,Non-CUP,12145.986102895557,4.084432779878984
W32,David Flett du Pont Athletic Center,2019,Non-CUP,12145.986102895557,4.084432779878984
